FORFAIT,DU,AU,VILLE DE DEPART,VILLE D'ARRIVEE,NBRE NUITEE,ARRANGEMENT,PRIXTTC, REDUCTION , Page , Position , Date Scraping 
hôtel bel azur thalasso & bungalows 4*,22/02/2019,6/3/2019,Nantes,hammamet,13j/12n,tout compris,678,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,7/3/2019,Nantes,hammamet,13j/12n,tout compris,958,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,8/3/2019,Nantes,hammamet,13j/12n,tout compris,745,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,9/3/2019,Nantes,hammamet,13j/12n,tout compris,764,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,10/3/2019,Nantes,hammamet,13j/12n,tout compris,726,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,11/3/2019,Nantes,hammamet,13j/12n,tout compris,660,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,12/3/2019,Nantes,hammamet,13j/12n,tout compris,585,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,20/02/2019,Nantes,hammamet,6j/5n,tout compris,1167,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,23/02/2019,Nantes,hammamet,6j/5n,tout compris,1262,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,25/02/2019,Nantes,hammamet,6j/5n,tout compris,784,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,26/02/2019,Nantes,hammamet,6j/5n,tout compris,435,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,27/02/2019,Nantes,hammamet,6j/5n,tout compris,529,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,28/02/2019,Nantes,hammamet,6j/5n,tout compris,746,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,1/3/2019,Nantes,hammamet,6j/5n,tout compris,571,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,2/3/2019,Nantes,hammamet,6j/5n,tout compris,467,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,3/3/2019,Nantes,hammamet,6j/5n,tout compris,429,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,4/3/2019,Nantes,hammamet,6j/5n,tout compris,392,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,5/3/2019,Nantes,hammamet,6j/5n,tout compris,424,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,15/03/2019,Nantes,hammamet,29j/28n,tout compris,1271,,,,
hôtel bel azur thalasso & bungalows 4*,17/02/2019,17/03/2019,Nantes,hammamet,29j/28n,tout compris,1022,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,18/03/2019,Nantes,hammamet,29j/28n,tout compris,1459,,,,
hôtel bel azur thalasso & bungalows 4*,19/02/2019,19/03/2019,Nantes,hammamet,29j/28n,tout compris,966,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,20/03/2019,Nantes,hammamet,29j/28n,tout compris,1372,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,21/03/2019,Nantes,hammamet,29j/28n,tout compris,980,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,22/03/2019,Nantes,hammamet,29j/28n,tout compris,1073,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,23/03/2019,Nantes,hammamet,29j/28n,tout compris,1339,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,24/03/2019,Nantes,hammamet,29j/28n,tout compris,933,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,25/03/2019,Nantes,hammamet,29j/28n,tout compris,1031,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,26/03/2019,Nantes,hammamet,29j/28n,tout compris,942,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,27/03/2019,Nantes,hammamet,29j/28n,tout compris,961,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,28/03/2019,Nantes,hammamet,29j/28n,tout compris,942,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,28/02/2019,Nantes,hammamet,14j/13n,tout compris,988,,,,
hôtel bel azur thalasso & bungalows 4*,17/02/2019,2/3/2019,Nantes,hammamet,14j/13n,tout compris,950,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,3/3/2019,Nantes,hammamet,14j/13n,tout compris,1164,,,,
